sentimento,empresa,texto,,,
positive,Virgin America,@VirginAmerica Comenity Bank is a joke!  Please change.  Nothing but constant problems with this bank,,,
positive,Virgin America,"@VirginAmerica I just did, how can I DM? Do u have to also add me?",,,
positive,Virgin America,"@VirginAmerica For my Grandma Ella's 80th, she would &lt;3 a bday greeting from your flight crew! She was a stewardess for Eastern Airlines.",,,
positive,Virgin America,@VirginAmerica Just bought tix for ATX - Dallas route - thanks for adding that! Love yr airline &amp,,,
positive,Virgin America,"@VirginAmerica Anytime, sugafly.",,,
positive,Virgin America,@VirginAmerica gave a credit for my Late Flight flight yesterday. Great service !!!! That's a Wow moment! Unexpected gesture!,,,
positive,Virgin America,@VirginAmerica I need a receipt for a flight change. Can you send one?,,,
positive,Virgin America,"@VirginAmerica, I submitted a status match request a while back and still haven’t heard! I’m flying on Monday. Can you look / accelerate?",,,
positive,Virgin America,@VirginAmerica had me at their safety video . . . http://t.co/CqMm7nuE9m  LOVED my first cross country flight. #livewelltraveled #sytycd,,,
positive,Virgin America,@VirginAmerica that doesn't look to fat to me! It looks yummy!,,,
positive,Virgin America,"@VirginAmerica CEO says #Southwest &amp; #jetblue have strayed from low cost model.
http://t.co/96Sctomh29",,,
positive,Virgin America,@VirginAmerica a brilliant brisk am in Boston in cue for vx363 http://t.co/rMZNIVGmg6,,,
positive,Virgin America,@VirginAmerica Atlantic ploughs a lone furrow in the #MiddleEast http://t.co/FVUdmh27pF @TheNationalUAE,,,
positive,Virgin America,@VirginAmerica Atlantic ploughs a lone furrow in the #MiddleEast http://t.co/DCoBoKN7EE @TheNationalUAE,,,
positive,Virgin America,@VirginAmerica Atlantic ploughs a lone furrow in the #MiddleEast http://t.co/vw4P4T4tLh @TheNationalUAE,,,
positive,Virgin America,@VirginAmerica omg omg😍😍 nonstop Dallas to Austin on virgin✨😱✈️,,,
positive,Virgin America,@VirginAmerica Your planes are really pretty. Just thought u should know that. :),,,
positive,Virgin America,@VirginAmerica when are you flying to hawaii,,,
positive,Virgin America,@VirginAmerica I'm pulling my hair out trying to book a flight with u. Your site doesn't work on iPhone or iPad.don't have a computer #help,,,
positive,Virgin America,@VirginAmerica thank you,,,
positive,Virgin America,@VirginAmerica Can I get some help with a support ticket? It's been 15 days.... Incident: 150202-000419 Thank you!,,,
positive,Virgin America,@VirginAmerica good to be home #texas #moodlighting http://t.co/N3BVZTY3zI,,,
positive,Virgin America,@VirginAmerica I cannot even open my laptop in seat 4C and I paid a premium for this?!!   Let me out of here!,,,
positive,Virgin America,@VirginAmerica I am in seat 4C and I cannot even open my laptop,,,
positive,Virgin America,.@VirginAmerica If only you guys were starting those flights at the end of the month! Guess I’m still road tripping on Feb 27…,,,
positive,Virgin America,"@VirginAmerica thanks for that. Been needing a way to make those Austin trips from DCA, and now you've come through!",,,
positive,Virgin America,"@VirginAmerica announced New Route to Austin w/fares from $39/way. 
http://t.co/gA8pbamu0C",,,
positive,Virgin America,@VirginAmerica Really? Sprint? I thought you guys were 'kewl'! 0_0,,,
positive,Virgin America,@VirginAmerica this is too cool!  Never been on ur planes but now I will!!,,,
positive,Virgin America,@VirginAmerica you should have 39 dollar LAX-Las fares!!!,,,
positive,Virgin America,@VirginAmerica great. Well deserved.,,,
positive,Virgin America,@VirginAmerica FYI the info@virginamerica.com email address you say to contact in password reset emails doesn't exist. Emails bounce.,,,
positive,Virgin America,@VirginAmerica Status match - 2 weeks have gone by and no news.Flt next week - hope flt will count towards requirement.  Cust Svc no help!!!,,,
positive,Virgin America,@VirginAmerica your website sucks donkey dicks. Just thought you should know. All best.,,,
positive,Virgin America,@VirginAmerica You should still develop an app - then you will be my favorite airline.,,,
positive,Virgin America,@VirginAmerica all crap channels which is why I pay to watch UK tv,,,
positive,Virgin America,@VirginAmerica got it. All set - Thanks!,,,
positive,Virgin America,@VirginAmerica no A's channel this year?,,,
positive,Virgin America,@VirginAmerica Only thing I see on passbook is Virgin Mobile Mexico. How do I integrate?,,,
positive,Virgin America,@VirginAmerica Giants and Virgin America. A match made in heaven.,,,
positive,Virgin America,"@VirginAmerica thank goodness!! Also, see you friday, nwk&gt;sf.. BOOM!",,,
positive,Virgin America,@VirginAmerica how come you don't have an iPhone app? Still using and making me waste paper.,,,
positive,Virgin America,@VirginAmerica Your back of seat entertainment system does not accept credit cards that  have an apostrophe in the surname. #apostrophefail,,,
positive,Virgin America,@VirginAmerica When will VX use all 6 LGA slots instead of 4 today? Adding AUS makes this less likely :(,,,
positive,Virgin America,@VirginAmerica is helping me step up my @Tinder game! #TinderTips #tinderchamp http://t.co/jBmVVha63A,,,
positive,Virgin America,@VirginAmerica I luv ur people and product! 1 thing is y do u charge for herbal tea but not black tea? I'm not a caffeine drinker,,,
positive,Virgin America,@VirginAmerica thank you! See y'all soon! I'm excited to see the expansion of destinations. Spread those wings!,,,
positive,Virgin America,"@VirginAmerica announces new nonstop connecting @AUStinAirport &amp; @DallasLoveField, $39 intro: http://t.co/qXnOaQtYN8 http://t.co/JK7qmdfqgf",,,
positive,Virgin America,@VirginAmerica adds Austin-Dallas Love Field route. http://t.co/XWJoL55FLH http://t.co/Y8AOrMfkaC,,,
positive,Virgin America,@VirginAmerica sad to learn you no longer fly SFO &gt,,,
positive,Virgin America,"@VirginAmerica - can you tweet me the Cancelled Flight/chng fee for a flight? or can I rebook under one of your affiliates? If so, who are afiliates?",,,
positive,Virgin America,@VirginAmerica has the most INCREDIBLE customer service I've ever experienced! So refreshing!,,,
positive,Virgin America,"@VirginAmerica Now, when will we see VirginAmerica come to Philadelphia (PHL).",,,
positive,Virgin America,"@VirginAmerica , am I dreaming? Did you really just open up a route between Dallas and Austin?! And does this mean Houston might be next?",,,
positive,Virgin America,@VirginAmerica OMG FINALLY,,,
positive,Virgin America,@VirginAmerica to start 5xweekly #A319 flights from to #Dallas @DallasLoveField #Austin on 28APR #avgeek,,,
positive,Virgin America,@VirginAmerica Nice to see you expanding in Texas but don't forget about us here in #SanDiego. I would love to see more flights out of here!,,,
positive,Virgin America,@VirginAmerica kinda sucked my earphone jack didn't work on my flight. They may want to look into that for future passengers,,,
positive,Virgin America,@VirginAmerica Very poor experience. First computer problem now seat malfunction. Stuck. Missing meeting in San Diego.,,,
positive,Virgin America,"@VirginAmerica to battle @SouthwestAir on @DallasLoveField-@AUStinAirport route 
http://t.co/6RLz0EBk2X via @usatoday",,,
positive,Virgin America,@VirginAmerica #thankyou the DAL-AUS route makes my day!!!!,,,
positive,Virgin America,@virginamerica awesome deals DAL-AUS for only $39 each way! https://t.co/xCVQXYkg49,,,
positive,Virgin America,@VirginAmerica I miss the #nerdbird in San Jose,,,
positive,Virgin America,"@VirginAmerica love it, taking @SouthwestAir on in their backyard! Consumers win when biz competes.",,,
positive,Virgin America,@VirginAmerica ​ is flying from Love to Austin now. That is most excellent news.,,,
positive,Virgin America,@VirginAmerica can we make every VX plane with #nerdbird? Why should Austin be the only one getting nerd love?,,,
positive,Virgin America,@VirginAmerica please add more frequency to PDX Portland,,,
positive,Virgin America,@VirginAmerica Congrats VX on the new route! ✈️🎉,,,
positive,Virgin America,"@VirginAmerica I tried that. You offered to charge me an additional $1k for a new ticket or be stranded until Thurs. 1st time, last time.",,,
positive,Virgin America,@VirginAmerica @AmericanAir can u help with flights to get a 2y old battling cancer who needs treatment in 🇺🇸 @FreyaBevan_Fund 💗 🎀 💗,,,
positive,Virgin America,"@VirginAmerica Never had a bad experience before, but this one took the cake. Now extortion for carry on items as well?",,,
positive,Virgin America,@VirginAmerica Had to spend 5 hours worrying that items in carryon would be broken/stolen since I couldn't carry them on plane or lock bag.,,,
positive,Virgin America,"@VirginAmerica All of group E was told there was no more room in the bins. when I got on the plane, was room for at least 4 bags in my row!",,,
positive,Virgin America,@VirginAmerica Thanks for making my flight from LAX to JFK a nightmare by forcing me to check my carry on bag at the gate. (1),,,
positive,Virgin America,@VirginAmerica I have lots of flights to book and your site it not working!!!! I've been on the phone waiting for over 10 minutes..........,,,
positive,Virgin America,@VirginAmerica I am all about the in flight artisanal cheese and wine pairing.,,,
positive,Virgin America,@VirginAmerica does Virgin America fly direct from Seattle to NYC or Boston?,,,
positive,Virgin America,@VirginAmerica That's classy.,,,
positive,Virgin America,@VirginAmerica I'm sure a lot of your 747 and 777 JFK-LHR flights go a lot faster than 513mph with a strong tailwind.,,,
positive,Virgin America,@VirginAmerica now it's just t-minus 32 minutes until my Elevate a Silver upgrade window opens . #FreeNeverSucks 😃👍,,,
positive,Virgin America,@VirginAmerica save some for 871 tomorrow AM!,,,
positive,Virgin America,@VirginAmerica Why is it taking 12 years to fly home to Dallas? Get your shit together.,,,
positive,Virgin America,@VirginAmerica @JezzieGoldz club Virgin is bumping in New York http://t.co/HaQc7GDg7c,,,
positive,Virgin America,@VirginAmerica @JezzieGoldz would have been a rough trip but LUCKILY we were on a #virginamerica flight. #weather,,,
positive,Virgin America,@VirginAmerica is that #thestarter??😁,,,
positive,Virgin America,@VirginAmerica ...Please come to Minneapolis St. Paul!,,,
positive,Virgin America,@VirginAmerica YES FYI  MY BFF,,,
positive,Virgin America,"@VirginAmerica another perfect flight.   How come on your planes,  the sun visors can stay down?  Other carriers make you raise them?",,,
positive,Virgin America,"Nice RT @VirginAmerica: The man of steel might be faster, but we have WiFi – just saying. #ScienceBehindTheExperience http://t.co/FGRbpAZSiX",,,
positive,Virgin America,@VirginAmerica I love the dancing little richard. cool beans.,,,
positive,Virgin America,@VirginAmerica I don’t use Passbook =/ I still love you though &lt,,,
positive,Virgin America,@VirginAmerica thanks for the free birthday points! y'all are ALL RIGHT with me!,,,
positive,Virgin America,@VirginAmerica do you have an application for iOS? Was looking and only saw Virgin Mexico :( &lt,,,
positive,Virgin America,@VirginAmerica Man of steel flies to more cities though...and with more frequency too.,,,
positive,Virgin America,@VirginAmerica thanks so much for sharing. Just added it to my site http://t.co/TsviBTvT8h,,,
positive,Virgin America,@VirginAmerica Good point!,,,
positive,Virgin America,.@VirginAmerica I heard he has a virgin mobile hotspot ,,,
positive,Virgin America,@VirginAmerica you got cheese pLate Flights too.,,,
positive,Virgin America,@VirginAmerica On all your flights?,,,
positive,Virgin America,@VirginAmerica Dad on Segway is the best part of this whole infographic!,,,
positive,Virgin America,@VirginAmerica Are there any plans for a short haul airline in Europe? Would defiantly fly with you guys :),,,
positive,Virgin America,@VirginAmerica wifi AND better seating.,,,
positive,Virgin America,@VirginAmerica how come ABC is the only one of the network channels you don't have?,,,
positive,Virgin America,@VirginAmerica started my flight with a scolding for using an overhead bin that was then offered to the person seated next to me.,,,
positive,Virgin America,".@VirginAmerica not only was it great, but you return my calls the day after. Couldn't ask for more. #myVXexperience",,,
positive,Virgin America,"@VirginAmerica While other airlines weren't Cancelled Flighting flights into BOS, and helping their customers get home, Virgin was saying Good luck!",,,
positive,Virgin America,"@VirginAmerica Dear Virgin customer, while you're stranded in SF for 3 days &amp; $1000cost- we'll do the very least we can to accommodate you!",,,
positive,Virgin America,@VirginAmerica should use this in their next airline commercial lol :: http://t.co/pXEXIlSjBs,,,
positive,Virgin America,@VirginAmerica Grouping Virgin in with the others now. BOS weather has exposed their actual Cus Serv model. Never Flight Booking Problems with Virgin again!,,,
positive,Virgin America,"@VirginAmerica As one of the travelers affected by the Boston storm, I'm shocked at Virgin's complete apathy toward their customers.",,,
positive,Virgin America,@VirginAmerica Umm so no reason as to why this is? Is there someone different I should contact (or contact me) to get a definitive answer?,,,
positive,Virgin America,@virginamerica Trying to make the change in advance (not just 24 hours prior)…tried it online earlier and it wanted $300 in change fees.,,,
positive,Virgin America,"@VirginAmerica so loyal that I'm driving to #NYC from #PA, to fly Virgin,  since you cut #Philly flights ;)",,,
positive,Virgin America,@virginamerica Any way to change from Main Cabin to Main Cabin Select (on same flight) without paying a change fee penalty?,,,
positive,Virgin America,@VirginAmerica you guys are perfect as always! &lt,,,
positive,Virgin America,@VirginAmerica thanks! Y'all have some of the best customer service left in the industry.,,,
positive,Virgin America,@VirginAmerica Can you give me Silver Status for 12 months?,,,
positive,Virgin America,@VirginAmerica really wish you'd fly out of #Fargo @fargoairport those fares are amazings,,,
positive,Virgin America,"@VirginAmerica mood lighting on point🙌 Reclining my seat, kickin up my feet💤",,,
positive,Virgin America,@VirginAmerica my flight (6000) scheduled for 1pm departure still says on time but no plane at gate. Any update on how long of a delay?,,,
positive,Virgin America,@VirginAmerica my group got their Cancelled Flightlation fees waived but I can't because my ticket is booked for 2/18? Your reps were no help either 😡,,,
positive,Virgin America,@VirginAmerica Are there any sign up bonuses to enroll in Elevate?,,,
positive,Virgin America,@VirginAmerica just got on the 1pm in Newark home to LA. Your folks at EWR are incredible #letsgohome,,,
positive,Virgin America,@VirginAmerica morning. If I have a question regarding elevate points &amp,,,
positive,Virgin America,@VirginAmerica still waiting to see  @Starryeyes_Dev_  😞,,,
positive,Virgin America,@VirginAmerica was wondering if you guys recieved my dm and we're able to potentially respond asap,,,
positive,Virgin America,@VirginAmerica Flying LAX to SFO and after looking at the awesome movie lineup I actually wish I was on a long haul.,,,
positive,Virgin America,“@VirginAmerica: Book out of town with fares from $59/way (+restr). http://t.co/xRdTOV7nl8 http://t.co/4Y78byAckc” @JenniferDawnPro,,,
positive,United,@united thanks,,,
positive,United,@united Thanks for taking care of that MR!! Happy customer.,,,
positive,United,@united still no refund or word via DM. Please resolve this issue as your Cancelled Flightled flight was useless to my assistant's trip.,,,
positive,United,@united Delayed due to lack of crew and now delayed again because there's a long line for deicing... Still need to improve service #united,,,
positive,United,@united thanks -- we filled it out. How's our luck with this? Is it common?,,,
positive,United,@united Your ERI-ORD express connections are hugely popular .. now if only we could have an ERI-EWR hop! :),,,
positive,United,@united even on international flight Glasgow to the U.S.? Then what about orlando to Newark? All 90 mins?,,,
positive,United,@united you think you boarded flight AU1066 too early? I think so.,,,
positive,United,"@united I understand, but it's tough when there is no way to get to the airport w/o serious risk of an accident. It's a steep price.",,,
positive,United,"@united Gate agent hooked me up with alternate flights. If you have a way to PREVENT the constant issues, that would rock.",,,
positive,United,@united flying gla-mco in a few weeks. How long do we have to be at airport for before departure for both international and domestic? Ta,,,
positive,United,@united thanks,,,
positive,United,@united Thanks. It is on the same ticket.,,,
positive,United,@united why not? Is it a law or a policy?,,,
positive,United,@united is the worst. Nonrefundable First class tickets? Oh because when you select Global/FC their system auto selects economy w/upgrade.,,,
positive,United,@united @CheerTymeDad So I can buy tix 3 days before flight but can't transfer the tix.  Flawed security logic. Flawed customer service,,,
positive,United,"@united I did start a claim but 8-10 weeks is unrealistic, am I really supposed to go that long with out a car seat for my child.Ridiculous!",,,
positive,United,@united follow me please this airline is beautifull ♥,,,
positive,United,"@united no I don't, but I'm sure United have my info on its system.",,,
positive,United,"@united if the car seat is lost @united should just reimburse me for a new one, this is not a pair of shoes, it's a necessity for my child",,,
positive,United,@united Just submitted my response on the link you sent.,,,
positive,United,"@united yes, David Allan send an email with this number (KMM24999563V99860L0KM) and case#8719519",,,
positive,United,@united @highbuddyyy that totally sucks my cousin worked at PHL said @united,,,
positive,United,@united just wanted to let you know how wonderful Rosetta the gate agent was working flight 6457 Dan to Ase. Let her know she wasappreciated,,,
positive,United,"@united yes, a paper voucher that I got on January 26th 2015",,,
positive,United,@united beginning of Feb I called United they said they would send another voucher by mail. Never got anything. #tiredofwaiting,,,
positive,United,"@United the internet is a great thing.  I am emailing executives in your company, maybe they will respond to me in a timely manner.",,,
positive,United,"@united Do I need to use a Chase United Club pass for my 8yr old son, or can he come in with me on my pass?",,,
positive,United,@united and what am I suppose to do with that number?,,,
positive,United,"@united thats weak. See ya 👋
Hey @VirginAmerica !!",,,
positive,United,@united I flew back w other company since United didnt have an earlier flight,,,
positive,United,@united I lost a voucher that I was given in Miami aeroport on jan 26. I did not use it.,,,
positive,United,@united I am trying to book awards for September and need flights on @aegeanairlines but they will not show even w/ many award seats availab,,,
positive,United,@united I sure did.   I had to drive a total of 3 hours to get my own bag.  I'd like to explain that debacle but no one wants to talk to me.,,,
positive,United,@united @CheerTymeDad Gee that's like almost caring about ppl more than $$.  Think I'm more int in having a trusted adult w/ daughter .,,,
positive,United,"@united See? We were told repeatedly that the pilot was Late Flight and kept getting Late Flightr.  After we boarded, there was a defibrillator issue.",,,
positive,United,@united why no preferred security line anymore. My TSA pre-check didn't pull on my @SilverAirways partner flight! #Platinum #spoiled,,,
positive,United,@united #Newarkliberty Airport need to indicate different gate#'s for terminals A&amp,,,
positive,United,"@united yes please! I am newly married and trying to update my last name on a preexisting international flight! It seems so easy, but...",,,
positive,United,@united How does United refuse to reissue a $400 lost voucher when their plane didn't take off due to mechanics? #badcustomerservice,,,
positive,United,"@united also during the run I was instructed to do, I shattered my computer. http://t.co/oAflfr7WXB",,,
positive,United,"@united yes, we've been with the agents for the last 50 minutes. One of the agents have been very rude, but thankfully Ladan has been nice.",,,
positive,United,@united that's right- with an overnight Miami.,,,
positive,United,@united Have clients with an 11 hr layover at IAH (during the day). Will they have to claim &amp,,,
positive,United,"@united I am trying to find out if the loaner seat is new or used, a used car seat is illegal according to safety regulations",,,
positive,United,@united i DMed you the details,,,
positive,United,"@united iah to charlotte. Baggage claim rep latrice h. #customerservice non existent, Ignored customer then inappropriately touched customer",,,
positive,United,"@united Kewl. Will also let them know the overhead bin over my row was ""Inop"". I love a good abbreve.",,,
positive,United,"@united - thanks for your help...got me what I need, but its an issue with @_austrian . I guess I sit awhile longer.",,,
positive,United,@united @UCtraveladvisor - I would have loved to respond to your website until I saw the really long form. In business the new seats are bad,,,
positive,United,@united A refund and flight vouchers or another flight on a different airline at your expense for today. 8 hour drive is very inconvenient,,,
positive,United,@united then why have I not received my call back its been 3 days...it's an infant car seat how am I supposed to go anywhere with my child,,,
positive,United,@united thanks again for your concern. I will contact customer care upon our return from Australia.,,,
positive,United,@United well sitting on the ground 'on time' but waiting for a gate....again #tiredofthis,,,
positive,United,"@united ""Airport snow removal method #22...""
Keep up the good work folks, this is where Cessna's become 747's! http://t.co/9v8tMUsJvU",,,
positive,United,"@united No, I need you guys to not over book planes. It's not a concern, I'll just travel with someone else moving forward.",,,
positive,United,@united A measly $50 e-certificate is not how you appreciate loyal customers after they wait 3hrs on the tarmac during UA1116. #unacceptable,,,
positive,United,@united When will email address/username sign-on be available? It's been a while.,,,
positive,United,@united Thank you for that. Am I able to claim any interim expenses or is the cost of the stuff up on me?,,,
positive,United,@united rude rude,,,
positive,United,@united - Why can't I get a boarding pass for my Austrian Airlines codeshare flight. Rebook incls a 6 hour layover &amp,,,
positive,United,@united. ..I received on other flights. #united  truly breaks guitars. #unitedbreaksguitars #wantmymoneyback,,,
positive,United,@united just flew to #TelAviv paid $100 from a third suitcase which didn't even make it on the plane! Besides for the impolite service...,,,
positive,United,@United  My bag is still in Colo Springs. I am disabled and have to search an unfamiliar airport and look for my bag. Not a good outcome,,,
positive,United,@united Shame that there's no flex to tickets transfer rules.  Even calling from Neurosurgery ICU isn't enough!,,,
positive,United,@united No. Denver said they don't handle baggage that made it to Colo. Springs.  They gave me an 800 number to call. No help there either.,,,
positive,United,@united you guys need some serious training in customer service. Too many better options to put up with the way you guys handle ur mistakes,,,
positive,United,@united 6533 ORD to DCA,,,
positive,United,"@united once he found out we had a problem he avoided me like the plague. Was told ""we can't find a supervisor.""",,,
positive,United,@united ZCC82U Cancelled Flight flight 16h in advance??? Need connect flight reschedule so the link isn't helping. Help!? Gf waited months to see me.,,,
positive,United,@united I will not be flying you again,,,
positive,United,"@united in addition, my first flight was delayed an hour and I'm arriving at my destination 8 hrs Late Flight.",,,
positive,United,"@united Cancelled Flighted our flight, didn't rebook us on added flight, now have to drive from a Denver to KC....thanks!",,,
positive,United,@united your announcement for pre boarding only addresses mobility. My disability requires me to travel with a lot of stuff. Do I preboard?,,,
positive,United,@united I flew United last month and the experience was AWESOME!,,,
positive,United,@united our travel booked thru United group dept. Okc ticket agent less than willing to help with our connection in LAX.,,,
positive,United,"@united v upset with your disability  ""services"". When I told one of your employees I was carrying medical equipment she was very rude.",,,
positive,United,@united thnx for quick reply but don't think you can assist. Our intl grp will be put to considerable inconvenience today.,,,
positive,United,@united wont transfer flight ticket to accompany an 11 yr old who's active military mom had to have emergency brain surgery? WOW!!,,,
positive,United,@united @getmeontop 7 WEEKS Late FlightR AND I STILL HAVE NOT RECEIVED MY MILES FROM THE MileagePlus Gift Card $150 STARBUCKS CARD I HANDED OVER!!!,,,
positive,United,"@united as a 1k, I'm always hoping for improvement.",,,
positive,United,@united not yet. I complained about the guy who checked my luggage in as he was throwing the bags around. Unfortunate coincidence I hope?,,,
positive,United,@united OKC ticket agent Roger McLarren(sp?) LESS than helpful with our Intl group travel problems Can't find a supervisor for help.,,,
positive,United,@united mobile apps need construction from the ground up for each OS category.  It's expensive to get right .,,,
positive,United,@united another fail for the United ticket agents in OKC. LESS than helpful and could care less about our problems. American here we come.,,,
positive,United,"@united 441, which also had 1 working WC in coach. Good thing this bird landed ahead of schedule. I have to use the WC stat.",,,
positive,United,@united the os isn't controlled by me but rather @VerizonWireless .  App is new.,,,
positive,United,"@united I just sent an email to Customer Care, telling them I may have to break up with you 😢. I sincerely hope they can help me!!",,,
positive,United,@united silly I'm flying delta today. Your united club staff and attendants are surly and unhelpful and always seem bothered by pesky folk,,,
positive,United,@united What is your phone number. I can't find who to call about a flight reservation.,,,
positive,United,"@united well, you can't fix me missing my buddies 30th bday because of negligence but you can attempt to make up for it.",,,
positive,United,"@united why am I to believe they will help when customer service couldn't? Like I said, I want a number to someone who can fix what you did.",,,
positive,United,@united they helped me at the baggage service desk.  Said bc TSA screening was down in FLL not all bags made it but bag will be in EWR @ 12,,,
positive,United,@united Mobile boarding pass disappeared from phone while standing in line to board. Second time this week... Hmm.,,,
positive,United,@united for the record- Rozana at Newark was lovely and helpful. #choosekind,,,
positive,United,@united It was last night's 1235/ORD-LGA.,,,
positive,United,@united thx for update,,,
positive,United,@united thank you !,,,
positive,United,@united dm these nuts,,,
positive,United,@united Had to explain to a very over eager flight attendant trying to ask about my vision that my @ccicanine was not a guide dog!,,,
positive,United,@united what's the point of asking for details about a #servicedog when you book if your flight crew doesn't read them? (Continued),,,
positive,United,@united I tried but no one was available in bogota and everyone was rude in Houston. I was stuck for 35 hours because of you guys,,,
positive,United,@united #worst2unitedflightsever UA 236 LAS to IAD 2/24 mechanical problems again - took off - had to land for fix - delayed again #wtfodds!,,,
positive,United,@united despite my bag not making it to Newark good informative email tracking updates help!,,,
positive,United,@United. What's going on with UA 236?  outbound flight last thurs was delayed 4hrs How long will this delay be? #worst2unitedflightsever,,,
positive,United,@united #worst2unitedflightsever UA1429 IAD to LAS 2/19 mechanical problems - switched aircraft delayed 3.5 hours!,,,
positive,United,@united crashed trying to check in.,,,
positive,United,"@united Wow. What a deal. Again, 30+ plus seats available. Easy change to make a customer happy.",,,
positive,United,@united thanks for the info I already knew...,,,
positive,United,@united Airline trouble this winter &amp,,,
positive,United,@united on 768 to Logan - boarding gong show due to lax carry on enforcement. Bins full of coats = no room for bags. U need a better system!,,,
positive,United,@united Thank you.,,,
positive,United,@united Blackmailed me into paying £130 extra or having my return ticket nullified in San Francisco Airport. Terrible service from rep #scam,,,
positive,United,@united is there an email address I can reach? Too long for a DM.,,,
positive,United,@united disappointed that u didnt honor my $100 credit given to me for ur mistakes. Taking my business elsewhere  ✌️out.,,,
positive,United,@united ua1673 still waiting! Supposed to depart 9:08,,,
positive,United,@united it was credit from my last trip that never came in the mail!,,,
positive,United,@united ok it's now been 7 months waiting to hear from airline. I gave them quite a bit more than the 30 days requested! Terrible service,,,
positive,United,@united does this process ever end? Still waiting for the reply since 2 months #pathetic #customerservice,,,
positive,United,@united What's going on with your website? I'm Flight Booking Problems three tickets today and I've been booted off the system umpteen times.,,,
positive,United,@united how do I get my account number if your website says email is unavailable?,,,
positive,United,@united So do I need to book two one ways in order for her to fly as an unaccompanied minor?,,,
positive,United,"@united I received 1 bag last night, I am still missing the other one.",,,
positive,United,"@united @simonroesner you'll need to upgrade the seats too, even in economy plus it's like sitting on a concrete bench.",,,
positive,United,@united Pls Help Baby Hannah get the life saving surgeries she requires.She needs your help.Pls Donate/RT http://t.co/kQnrrP86A5,,,
positive,United,"@united bet you wont honour them, like mine ey",,,
positive,United,@united 2nd flight also delayed no pilots! But they boarded is so we can just sit here! #scheduling,,,
positive,United,"@united I guess that's too much ask, huh?",,,
positive,United,@united but it's hard to stay upset at someone when they at least TRY to show remorse.,,,
positive,United,"@united By the way, a simple apology goes a long way, even if it's a hollow one. It's obvious that you don't care about me or my well-being,",,,
positive,United,@united This isn't a one time thing either! It's a shocking pattern of repeated neglect and disrespect.,,,
positive,United,@united Fingers crossed &amp,,,
positive,United,"@united It's an incredibly easy fix, but you would rather stay in your comfort zone, while I get forced out of mine.",,,
positive,United,@united ours in July. You have ZERO excuses for this. You have an out-of-date system that causes problems like this.,,,
positive,United,@united Everyone around us is sitting with their friends and family members. They booked their tickets in October and December. We bought,,,
positive,United,@united Not sure what you are talking about. She is going on nonstop flights. SNA to SFO and then SFO to EWR.,,,
positive,United,".@united it will be because I'm moving to @AmericanAir because of @united talk, no service",,,
positive,United,@united please be good to me this weekend!,,,
positive,United,"@united I asked a legitimate question about systemwide vs. localized problems, and got back an unreLate Flightd copy/paste. You can do better.",,,
positive,United,@united what time? Who can I call. I need my skis. I will go to the airport and get them. No more faith in United.,,,
positive,United,@united I see you guys are at it again. Amazing how one company continually makes mistakes yet fails to be held accountable for their error,,,
positive,United,@united A Tourist Wonder: Super Tides and Tide of the Century at French and U.K coasts: http://t.co/gXdqORtsS0,,,
positive,United,@united Yeah sorry but there's always a problem with United. And you have an international reputation for having problems.,,,
positive,United,@united yall should probably work on that.,,,
positive,United,"@united but then again, maybe the @BBBNE_SD_KS_IA would care more to hear what went on than whoever listens to issues you caused",,,
positive,United,@united I wonder if sharing all this on FB and insta would produce a number. 140 characters really limits my story telling.,,,
positive,United,@united so you're telling me there is no number to call after being left in an airport because of a negligent pilot and staff?,,,
positive,United,@united Could this email be resent as it doesnt appear to have arrived.,,,
positive,United,@united yes please! Trying to get to POP- in Newark now....,,,
positive,United,@united you have to follow me in order for me to DM...come on now,,,
positive,United,"@united $25 United coupon to make up for broken entertainment system on a 9-hour flight, seriously? #Ridiculousness #learncustomerservice",,,
positive,United,@united So they didn't drop my bag overnight &amp,,,
positive,United,@united I did DM the details but still no response. I have to book today.,,,
positive,United,@united I know this is probably a no but is there a way to get a cheaper airfare ticket if the flight is leaving in a few hours? 🙏,,,
positive,United,@united can someone please explain the process of of what happens to property found on a plane after passengers leave at Heathrow ?,,,
positive,United,@united not able to DM you my confirmation number,,,
positive,United,"@united I've sent the message, let me know if you got it. I'm not very twitter-literate. Also, is he REALLY going to be stuck for 18hrs?",,,
positive,United,@united very unhappy at no response to complaint emailed on 2nd Feb ref.8441639. Awful customer service!,,,
positive,United,@united DM does not work what do I do?,,,
positive,United,@united private jet would have been cool! Do does not work. I'll try again,,,
positive,United,@united we were not given the option of using our United TravelBank in a recent Flight Booking Problems! Any help in using or recouping these funds? Thanks!,,,
positive,United,@united common!! keep your paper work ready and don't delay our flights(#1585)and meetings @ChooseChicago,,,
positive,United,@united how about 3659 YUL-ORD?,,,
positive,United,"@united yep that's correct, I got an email at 12:30 am that the flight was Cancelled Flightled, doesn't matter now flight into atl is delayed, thx",,,
positive,United,@united 1k and had problem getting out of FLL to IAH  sent DM to you about making my connection  please let me know,,,
positive,United,@united Done and done,,,
positive,United,"@united thanks, just sent :)",,,
positive,United,"@united I'm grounded in Montreal with ua3659. I am missing my connection ua3417 to St. Louis. Can you help,Do you have a private jet for me?",,,
positive,United,@united I'm so frustrated and nervous because of this.,,,
positive,United,@united are the ones who make it difficult for me.,,,
